time_s,ch0_uv,ch0_lead_off
158.138889,7687.50,0
158.144444,5112.50,0
158.150000,-4912.50,0
158.155556,-2087.50,0
158.161111,12287.50,0
158.166667,5112.50,0
158.172222,-11512.50,0
158.177778,-1650.00,0
158.183333,-6512.50,0
158.188889,8312.50,0
158.194444,5275.00,0
158.200000,-3887.50,0
158.205556,-1712.50,1
158.211111,11712.50,0
158.216667,5137.50,0
158.222222,13512.50,0
158.227778,-4912.50,0
158.233333,-2062.50,0
158.238889,7487.50,0
158.244444,5112.50,0
158.250000,-8312.50,0
158.255556,-1737.50,0
158.261111,-23112.50,0
158.266667,8312.50,0
158.272222,5675.00,0
158.277778,-4087.50,0
158.283333,-1712.50,1
158.288889,11712.50,0
158.294444,5150.00,0
158.300000,-11887.50,0
158.305556,-1712.50,1
158.311111,-6675.00,0
158.316667,7687.50,0
158.322222,5112.50,0
158.327778,-5112.50,0
158.333333,-1662.50,0
158.338889,12087.50,0
158.344444,5112.50,0
158.350000,13287.50,0
158.355556,-4287.50,0
158.361111,-1712.50,1
158.366667,8512.50,0
158.372222,5062.50,0
158.377778,-8687.50,0
158.383333,-1712.50,1
158.388889,21712.50,0
158.394444,7687.50,0
158.400000,5112.50,0
158.405556,-5112.50,0
158.411111,-1875.00,0
158.416667,10287.50,0
158.422222,5112.50,0
158.427778,-11512.50,0
158.433333,-1675.00,0
158.438889,-9312.50,0
158.444444,8312.50,0
158.450000,5275.00,0
158.455556,-3887.50,0
158.461111,-1712.50,1
158.466667,-23537.50,0
158.472222,17600.00,0
158.477778,-23362.50,0
158.483333,-25600.00,0
158.488889,6400.00,0
158.494444,-23000.00,0
158.500000,-24575.00,0
158.505556,-15375.00,0
158.511111,-24937.50,0
158.516667,-14562.50,0
158.522222,-24975.00,0
158.527778,-14375.00,0
158.533333,13500.00,0
158.538889,-19150.00,0
158.544444,-8975.00,0
158.550000,-14962.50,0
158.555556,-18800.00,0
158.561111,-14962.50,0
158.566667,-24937.50,0
158.572222,-15575.00,0
158.577778,-8937.50,0
158.583333,-25562.50,0
158.588889,-24650.00,0
158.594444,-15575.00,0
158.600000,-8937.50,0
158.605556,-19162.50,0
158.611111,-8975.00,0
158.616667,-14962.50,0
158.622222,11712.50,0
158.627778,5137.50,0
158.633333,15912.50,0
158.638889,-4912.50,0
158.644444,-1862.50,0
158.650000,7087.50,0
158.655556,5112.50,0
158.661111,-8312.50,0
158.666667,-1737.50,0
158.672222,-16512.50,0
158.677778,8312.50,0
158.683333,5475.00,0
158.688889,-4087.50,0
158.694444,-1712.50,1
158.700000,11712.50,0
158.705556,5162.50,0
158.711111,-11687.50,0
158.716667,-1712.50,1
158.722222,-6687.50,0
158.727778,7487.50,0
158.733333,5112.50,0
158.738889,-4912.50,0
158.744444,-1800.00,0
158.750000,11687.50,0
158.755556,5112.50,0
158.761111,13687.50,0
158.766667,-4287.50,0
158.772222,-1712.50,1
158.777778,8512.50,0
158.783333,5075.00,0
158.788889,-8687.50,0
158.794444,-1712.50,1
158.800000,-23087.50,0
158.805556,7687.50,0
158.811111,5112.50,0
158.816667,-5112.50,0
158.822222,-1887.50,0
158.827778,10287.50,0
158.833333,5112.50,0
158.838889,-11512.50,0
158.844444,-1650.00,0
158.850000,-6712.50,0
158.855556,8312.50,0
158.861111,5275.00,0
158.866667,-3887.50,0
158.872222,-1712.50,1
158.877778,11712.50,0
158.883333,5137.50,0
158.888889,13512.50,0
158.894444,-4912.50,0
158.900000,-2062.50,0
158.905556,7487.50,0
158.911111,5112.50,0
158.916667,-8312.50,0
158.922222,-1737.50,0
158.927778,25087.50,0
158.933333,8312.50,0
158.938889,5662.50,0
158.944444,-4087.50,0
158.950000,-1712.50,1
158.955556,11512.50,0
158.961111,5025.00,0
